"BanksDiversified","Quantity[2.2775684918556848*^13, ""USDollars""]"
"InternetContentAndInformation","Quantity[3.4877074498176797*^12, ""USDollars""]"
"InternetRetail","Quantity[2.8033600529318564*^12, ""USDollars""]"
"SoftwareInfrastructure","Quantity[2.6536668870738354*^12, ""USDollars""]"
"ConsumerElectronics","Quantity[2.1759268617051875*^12, ""USDollars""]"
"DrugManufacturersGeneral","Quantity[2.0606200316944834*^12, ""USDollars""]"
"Semiconductors","Quantity[1.8285307862186348*^12, ""USDollars""]"
"SoftwareApplication","Quantity[1.6962058245988794*^12, ""USDollars""]"
"TelecomServices","Quantity[1.4869406229654658*^12, ""USDollars""]"
"CreditServices","Quantity[1.272912466717272*^12, ""USDollars""]"
"InsuranceDiversified","Quantity[1.235712952370337*^12, ""USDollars""]"
"OilAndGasIntegrated","Quantity[1.1663741507185312*^12, ""USDollars""]"
"Entertainment","Quantity[1.0451032247830286*^12, ""USDollars""]"
"BanksRegional","Quantity[1.0041985493099401*^12, ""USDollars""]"
"HouseholdAndPersonalProducts","Quantity[9.384550130872661*^11, ""USDollars""]"
"Biotechnology","Quantity[8.299925869494489*^11, ""USDollars""]"
"SpecialtyIndustrialMachinery","Quantity[8.21012595467512*^11, ""USDollars""]"
"AutoManufacturers","Quantity[7.965018220732725*^11, ""USDollars""]"
"AssetManagement","Quantity[7.905465821364834*^11, ""USDollars""]"
"InformationTechnologyServices","Quantity[7.765632233459078*^11, ""USDollars""]"
"DiscountStores","Quantity[7.356087290631287*^11, ""USDollars""]"
"DiagnosticsAndResearch","Quantity[7.162292108431948*^11, ""USDollars""]"
"MedicalDevices","Quantity[6.892186303603368*^11, ""USDollars""]"
"UtilitiesRegulatedElectric","Quantity[6.855269160102974*^11, ""USDollars""]"
"Gold","Quantity[6.41819478467224*^11, ""USDollars""]"
"HealthcarePlans","Quantity[6.068443083205991*^11, ""USDollars""]"
"Railroads","Quantity[5.514584383454027*^11, ""USDollars""]"
"BeveragesNonAlcoholic","Quantity[5.432524010782399*^11, ""USDollars""]"
"OilAndGasMidstream","Quantity[5.36081410277813*^11, ""USDollars""]"
"AerospaceAndDefense","Quantity[5.347503210676238*^11, ""USDollars""]"
"Restaurants","Quantity[4.9695071753851337*^11, ""USDollars""]"
"OtherIndustrialMetalsAndMining","Quantity[4.771124691748744*^11, ""USDollars""]"
"OilAndGasEAndP","Quantity[4.2830625933881616*^11, ""USDollars""]"
"HomeImprovementRetail","Quantity[4.257701240067477*^11, ""USDollars""]"
"SpecialtyChemicals","Quantity[4.226286244673747*^11, ""USDollars""]"
"MedicalInstrumentsAndSupplies","Quantity[4.1617912106345984*^11, ""USDollars""]"
"CapitalMarkets","Quantity[3.702771114810601*^11, ""USDollars""]"
"InsuranceLife","Quantity[3.675890146003295*^11, ""USDollars""]"
"CommunicationEquipment","Quantity[3.514240824711964*^11, ""USDollars""]"
"SemiconductorEquipmentAndMaterials","Quantity[3.5032233927787744*^11, ""USDollars""]"
"REITSpecialty","Quantity[3.459925425922069*^11, ""USDollars""]"
"PackagedFoods","Quantity[3.456794474497269*^11, ""USDollars""]"
"UtilitiesDiversified","Quantity[3.4052959108108*^11, ""USDollars""]"
"FinancialDataAndStockExchanges","Quantity[3.3611320459332544*^11, ""USDollars""]"
"InsurancePropertyAndCasualty","Quantity[3.3588987496203613*^11, ""USDollars""]"
"BeveragesBrewers","Quantity[3.076412706854275*^11, ""USDollars""]"
"IntegratedFreightAndLogistics","Quantity[2.8947162966451196*^11, ""USDollars""]"
"Tobacco","Quantity[2.8602945239443274*^11, ""USDollars""]"
"DrugManufacturersSpecialtyAndGeneric","Quantity[2.8526955464423126*^11, ""USDollars""]"
"SpecialtyRetail","Quantity[2.3820716303438324*^11, ""USDollars""]"
"BeveragesWineriesAndDistilleries","Quantity[2.2634143608391064*^11, ""USDollars""]"
"FarmAndHeavyConstructionMachinery","Quantity[2.1594733104793124*^11, ""USDollars""]"
"ConsultingServices","Quantity[2.1488862480170273*^11, ""USDollars""]"
"Chemicals","Quantity[2.079473629910349*^11, ""USDollars""]"
"GroceryStores","Quantity[2.0724842723256128*^11, ""USDollars""]"
"ElectronicGamingAndMultimedia","Quantity[2.0460428697334656*^11, ""USDollars""]"
"FootwearAndAccessories","Quantity[1.969412113897934*^11, ""USDollars""]"
"ApparelRetail","Quantity[1.954861080765644*^11, ""USDollars""]"
"REITIndustrial","Quantity[1.9082221495174902*^11, ""USDollars""]"
"InsuranceBrokers","Quantity[1.8125831249012964*^11, ""USDollars""]"
"REITResidential","Quantity[1.6575755618743512*^11, ""USDollars""]"
"ComputerHardware","Quantity[1.6307803873537976*^11, ""USDollars""]"
"MedicalCareFacilities","Quantity[1.618019858289657*^11, ""USDollars""]"
"WasteManagement","Quantity[1.552119594445667*^11, ""USDollars""]"
"TravelServices","Quantity[1.5207794715829895*^11, ""USDollars""]"
"Broadcasting","Quantity[1.4996491855534503*^11, ""USDollars""]"
"AutoParts","Quantity[1.405857024574129*^11, ""USDollars""]"
"PackagingAndContainers","Quantity[1.3849745762422046*^11, ""USDollars""]"
"ScientificAndTechnicalInstruments","Quantity[1.3480487382385959*^11, ""USDollars""]"
"SpecialtyBusinessServices","Quantity[1.3379144201633968*^11, ""USDollars""]"
"REITOffice","Quantity[1.3337347144366325*^11, ""USDollars""]"
"ElectronicComponents","Quantity[1.279717712007015*^11, ""USDollars""]"
"StaffingAndEmploymentServices","Quantity[1.2433503747585979*^11, ""USDollars""]"
"ResidentialConstruction","Quantity[1.2373914223078624*^11, ""USDollars""]"
"EngineeringAndConstruction","Quantity[1.2104077518476158*^11, ""USDollars""]"
"RealEstateServices","Quantity[1.1724705761551123*^11, ""USDollars""]"
"Airlines","Quantity[1.1666350661755774*^11, ""USDollars""]"
"Confectioners","Quantity[1.1643859783851413*^11, ""USDollars""]"
"AgriculturalInputs","Quantity[1.1598548912712141*^11, ""USDollars""]"
"REITRetail","Quantity[1.1468359813514742*^11, ""USDollars""]"
"HealthInformationServices","Quantity[1.1140294956312589*^11, ""USDollars""]"
"ResortsAndCasinos","Quantity[1.1128209133654616*^11, ""USDollars""]"
"Lodging","Quantity[1.083727594303914*^11, ""USDollars""]"
"OilAndGasRefiningAndMarketing","Quantity[1.0536316383861731*^11, ""USDollars""]"
"EducationAndTrainingServices","Quantity[9.907912619889105*^10, ""USDollars""]"
"REITHealthcareFacilities","Quantity[9.857596597974342*^10, ""USDollars""]"
"IndustrialDistribution","Quantity[9.840432953082959*^10, ""USDollars""]"
"ElectricalEquipmentAndParts","Quantity[9.486674182869504*^10, ""USDollars""]"
"OilAndGasEquipmentAndServices","Quantity[9.272511342216908*^10, ""USDollars""]"
"Copper","Quantity[9.040253477595956*^10, ""USDollars""]"
"BuildingMaterials","Quantity[8.600177431209633*^10, ""USDollars""]"
"ApparelManufacturing","Quantity[8.479823082446191*^10, ""USDollars""]"
"REITDiversified","Quantity[8.34535115313242*^10, ""USDollars""]"
"Steel","Quantity[8.249229703314981*^10, ""USDollars""]"
"BuildingProductsAndEquipment","Quantity[8.159248072995203*^10, ""USDollars""]"
"MedicalDistribution","Quantity[7.8282621576752*^10, ""USDollars""]"
"Leisure","Quantity[7.183759292586916*^10, ""USDollars""]"
"UtilitiesRenewable","Quantity[7.079340680833932*^10, ""USDollars""]"
"UtilitiesRegulatedGas","Quantity[6.529963905638729*^10, ""USDollars""]"
"Publishing","Quantity[6.3812977046265945*^10, ""USDollars""]"
"FarmProducts","Quantity[6.276466737014667*^10, ""USDollars""]"
"ToolsAndAccessories","Quantity[5.835764711294168*^10, ""USDollars""]"
"PersonalServices","Quantity[5.60116833586374*^10, ""USDollars""]"
"RentalAndLeasingServices","Quantity[5.4871798250819275*^10, ""USDollars""]"
"UtilitiesRegulatedWater","Quantity[5.124520019367154*^10, ""USDollars""]"
"Trucking","Quantity[5.023034766267105*^10, ""USDollars""]"
"FurnishingsFixturesAndAppliances","Quantity[4.962046603595041*^10, ""USDollars""]"
"REITMortgage","Quantity[4.58054710257207*^10, ""USDollars""]"
"FoodDistribution","Quantity[4.4782254938553665*^10, ""USDollars""]"
"AutoAndTruckDealerships","Quantity[4.373196192744281*^10, ""USDollars""]"
"InsuranceSpecialty","Quantity[4.324374879853093*^10, ""USDollars""]"
"Solar","Quantity[4.0812860131095024*^10, ""USDollars""]"
"AdvertisingAgencies","Quantity[3.974723515473677*^10, ""USDollars""]"
"RecreationalVehicles","Quantity[3.903062818650463*^10, ""USDollars""]"
"MortgageFinance","Quantity[3.625938828991914*^10, ""USDollars""]"
"UtilitiesIndependentPowerProducers","Quantity[3.556324013556535*^10, ""USDollars""]"
"PharmaceuticalRetailers","Quantity[3.5544821888810036*^10, ""USDollars""]"
"Silver","Quantity[3.259095900689933*^10, ""USDollars""]"
"SecurityAndProtectionServices","Quantity[3.152804141662598*^10, ""USDollars""]"
"REITHotelAndMotel","Quantity[2.8525127336109978*^10, ""USDollars""]"
"LumberAndWoodProduction","Quantity[2.488273351028694*^10, ""USDollars""]"
"InsuranceReinsurance","Quantity[2.3952045464332947*^10, ""USDollars""]"
"OtherPreciousMetalsAndMining","Quantity[2.3638789916356834*^10, ""USDollars""]"
"Conglomerates","Quantity[2.2394593203890533*^10, ""USDollars""]"
"LuxuryGoods","Quantity[2.0614233909646732*^10, ""USDollars""]"
"ShellCompanies","Quantity[1.909977349693675*^10, ""USDollars""]"
"OilAndGasDrilling","Quantity[1.7849242278279675*^10, ""USDollars""]"
"BusinessEquipmentAndSupplies","Quantity[1.782864854988666*^10, ""USDollars""]"
"AirportsAndAirServices","Quantity[1.7767910698538254*^10, ""USDollars""]"
"Gambling","Quantity[1.6849322412414057*^10, ""USDollars""]"
"PaperAndPaperProducts","Quantity[1.6688822778834929*^10, ""USDollars""]"
